Gene.1,raw_pvalues,sidak,holm-sidak,holm,simes-hochberg,hommel,fdr_bh,fdr_by,fdr_tsbh,fdr_tsbky,fold change,is_interesting
1200016B10Rik,0.00015988934481885882,0.9695437172305431,0.9332834971312275,1.0,0.9999724202693399,0.9989869325558699,0.0007117602128684571,0.007522243524894046,0.0003353275617026709,0.0003771074135384163,-0.20527500000000032,False
1300001I01Rik,0.07129698226311881,1.0,1.0,1.0,0.9999724202693399,0.99997242026934,0.1274265046832446,1.0,0.06003372812807589,0.06751357933267926,0.070075000000001,False
1300002K09Rik,0.9675856426936496,1.0,1.0,1.0,0.9999724202693399,0.99997242026934,0.9775242913161447,1.0,0.460535488196436,0.5179155149507252,-0.0023249999999990223,False
1300003B13Rik,0.726968163640855,1.0,1.0,1.0,0.9999724202693399,0.99997242026934,0.799302575814395,1.0,0.37657089981235087,0.42348943021863944,-0.019099999999999895,False
1300010F03Rik,0.0002639106643092097,0.9968591125141726,0.9874867515961401,1.0,0.9999724202693399,0.99997242026934,0.0011001316065657873,0.011626749717675204,0.0005182987788753036,0.0005828757736147297,-0.13547499999999957,False
1300014I06Rik,0.3688697188190019,1.0,1.0,1.0,0.9999724202693399,0.99997242026934,0.47765806609019723,1.0,0.2250363419221369,0.25307455320254935,0.0305250000000008,False
1300017J02Rik,0.0010440758824826163,0.9999999998758221,0.9999999057208333,1.0,0.9999724202693399,0.99997242026934,0.0035900358367535364,0.03794132256750318,0.0016913532701022958,0.001902085989679443,0.10045000000000037,False
1300018I05Rik,0.00037407902970048896,0.9997168528232424,0.997784932614036,1.0,0.9999724202693399,0.99997242026934,0.0014853638140589517,0.015698079395851033,0.0006997910490141716,0.0007869809185117379,-0.0895500000000009,False
1300018I17Rik,0.026837967287463182,1.0,1.0,1.0,0.9999724202693399,0.99997242026934,0.05696024647373237,0.601984822229153,0.026835358620347374,0.030178887262682284,0.04667499999999869,False
1300018J18Rik,5.362320347635006e-06,0.11049182264904434,0.09515485065256679,0.09999118752234995,0.09999118752234995,0.07929263098047883,3.671566785531839e-05,0.0003880298305433262,1.7297644846698432e-05,1.9452830167979017e-05,-0.11337499999999956,False
1500001A10Rik,1.857419631976602e-05,0.3334041529894488,0.2856762357640229,0.3364158437436021,0.3364158437436021,0.2406658617152083,0.00010890643841087298,0.001150978568827174,5.130847409812917e-05,5.7701209711191496e-05,0.1910000000000016,False
1500001M20Rik,0.014170970111041976,1.0,1.0,1.0,0.9999724202693399,0.99997242026934,0.03338257982248371,0.3528040629047434,0.01572734594155667,0.01768688120871845,-0.08004999999999995,False
1500002C15Rik,0.1572369430421366,1.0,1.0,1.0,0.9999724202693399,0.99997242026934,0.24263382694876698,1.0,0.11431070198406072,0.1285531464997573,-0.04997499999999988,False
1500002O20Rik,0.08255106247795428,1.0,1.0,1.0,0.9999724202693399,0.99997242026934,0.1436256931638352,1.0,0.067665560136312,0.07609629294730755,0.06239999999999846,False
1500003O03Rik,0.1636887558532452,1.0,1.0,1.0,0.9999724202693399,0.99997242026934,0.2505642614842205,1.0,0.11804692273360093,0.1327548784901535,-0.11280000000000001,False
1500009C09Rik,0.021501907774104486,1.0,1.0,1.0,0.9999724202693399,0.99997242026934,0.04732803994431164,0.5001867701796096,0.022297391660505327,0.02507551617603655,0.075075,False
1500010J02Rik,0.6186454414686213,1.0,1.0,1.0,0.9999724202693399,0.99997242026934,0.7095720551802988,1.0,0.33429666735240365,0.3759480757849472,-0.011000000000001009,False
1500011B03Rik,0.2776400712251798,1.0,1.0,1.0,0.9999724202693399,0.99997242026934,0.38288833166183295,1.0,0.18038801318091485,0.20286330398425678,0.057475000000000165,False
1500011H22Rik,0.0003556594080304445,0.999576604782973,0.997052321394928,1.0,0.9999724202693399,0.99997242026934,0.0014233546873799038,0.015042735442631204,0.0006705770400310085,0.000754127014971005,0.12659999999999982,False
1500011K16Rik,0.0005677461721622943,0.9999958824741708,0.9998863031835952,1.0,0.9999724202693399,0.99997242026934,0.002121276124086875,0.022418723750541894,0.0009993848174253118,0.0011239023172303106,-0.13662500000000133,False
1500012F01Rik,0.13278706313869404,1.0,1.0,1.0,0.9999724202693399,0.99997242026934,0.2117330374495302,1.0,0.09975258787466532,0.11218117656708863,0.06955000000000133,False
1500015L24Rik,1.931396895258688e-12,4.2170894776205614e-08,4.110672424673112e-08,4.1107851518685915e-08,4.1107851518685915e-08,4.0563197594222965e-08,7.639864349270552e-11,8.074196772079237e-10,3.599326061870674e-11,4.0477810257570984e-11,-0.29020000000000046,True
1500015O10Rik,4.9488811256092805e-05,0.6606132387141399,0.5811252378110137,0.8701617683158798,0.8701617683158798,0.5347760944333388,0.0002540766973375938,0.002685211615962298,0.0001197017167626209,0.00013461585017125814,0.1628249999999989,False
1500031L02Rik,1.5201040206365534e-05,0.2824532923204064,0.24171155910727316,0.2766893338362654,0.2766893338362654,0.2021243235394203,9.133591439350343e-05,0.000965284344664239,4.303057253794228e-05,4.839193005926829e-05,0.17057499999999948,False
1500032L24Rik,0.05924655001296007,1.0,1.0,1.0,0.9999724202693399,0.99997242026934,0.1095198458798665,1.0,0.051597465288123964,0.05802620751226982,-0.06179999999999808,False
1500035H01Rik,0.05526579314746497,1.0,1.0,1.0,0.9999724202693399,0.99997242026934,0.10361009350853166,1.0,0.048813237092844755,0.05489508077729106,0.08832499999999932,False
1500035N22Rik,0.001861918668888753,1.0,0.9999999999992378,1.0,0.9999724202693399,0.99997242026934,0.005922101519146667,0.0625877774575736,0.0027900461794120343,0.003137669605887431,0.13404999999999845,False
1500041N16Rik,0.21953192951138226,1.0,1.0,1.0,0.9999724202693399,0.99997242026934,0.31740694483386517,1.0,0.14953813792104287,0.16816971480190226,-0.04562500000000114,False
1520401A03Rik,8.3530688133289e-06,0.16672371680025444,0.14295522808291683,0.15426447484455813,0.15426447484455813,0.11875557931909697,5.415358002940515e-05,0.0005723225453756985,2.5513069739523277e-05,2.8691848925403224e-05,0.18234999999999957,False
1520402A15Rik,0.9288971066608513,1.0,1.0,1.0,0.9999724202693399,0.99997242026934,0.9497760863469769,1.0,0.44746263339827574,0.5032138589476653,0.0032749999999976964,False
1600002H07Rik,0.07072325734753646,1.0,1.0,1.0,0.9999724202693399,0.99997242026934,0.12656686535394301,1.0,0.059628731114999396,0.06705812206183469,0.21477500000000127,False
